Date,Open,High,Low,Close
2013-01-01,1410.6,1427.9,1408.3,1415.1
2013-01-02,1421.0,1626.6,1416.15,1607.4
2013-01-03,1632.55,1673.9,1613.05,1626.2
2013-01-04,1627.75,1627.75,1574.6,1579.05
2013-01-07,1580.0,1639.5,1565.5,1595.65
2013-01-08,1600.0,1656.0,1592.8,1625.2
2013-01-09,1633.1,1635.7,1595.55,1602.95
2013-01-10,1631.0,1631.0,1589.0,1603.75
2013-01-11,1613.3,1613.35,1575.0,1581.9
2013-01-14,1588.1,1608.0,1580.0,1593.7
2013-01-15,1605.45,1605.45,1582.2,1586.95
2013-01-16,1588.05,1591.15,1570.0,1572.7
2013-01-17,1577.15,1645.8,1570.0,1599.9
2013-01-18,1609.8,1614.7,1578.55,1587.0
2013-01-21,1594.75,1621.0,1587.95,1596.9
2013-01-22,1596.95,1609.9,1572.3,1578.9
2013-01-23,1581.15,1592.5,1535.0,1556.0
2013-01-24,1558.0,1574.4,1516.15,1528.6
2013-01-25,1538.6,1603.7,1533.4,1584.6
2013-01-28,1598.95,1612.15,1561.7,1570.25
2013-01-29,1570.25,1577.95,1545.1,1549.05
2013-01-30,1555.0,1559.8,1511.6,1523.0
2013-01-31,1523.0,1530.05,1495.0,1503.7
2013-02-01,1504.0,1551.9,1500.0,1521.6
2013-02-04,1533.1,1549.0,1505.0,1508.9
2013-02-05,1502.05,1524.65,1483.15,1504.25
2013-02-06,1519.35,1531.0,1506.0,1512.65
2013-02-07,1515.0,1525.1,1490.4,1498.8
2013-02-08,1510.0,1510.0,1472.25,1485.8
2013-02-11,1498.4,1511.95,1476.0,1483.15
2013-02-12,1490.45,1505.9,1478.0,1489.55
2013-02-13,1498.3,1539.0,1480.65,1493.9
2013-02-14,1492.5,1507.9,1479.95,1481.45
2013-02-15,1479.95,1500.0,1479.95,1485.55
2013-02-18,1491.25,1513.0,1486.15,1491.45
2013-02-19,1497.95,1524.6,1486.15,1513.2
2013-02-20,1520.0,1535.0,1513.0,1518.6
2013-02-21,1514.4,1548.95,1502.05,1510.7
2013-02-22,1519.85,1519.95,1501.0,1507.65
2013-02-25,1519.05,1524.85,1420.0,1484.3
2013-02-26,1482.0,1489.9,1456.55,1463.2
2013-02-27,1477.65,1495.0,1420.5,1469.55
2013-02-28,1500.0,1500.0,1438.0,1442.15
2013-03-01,1442.0,1453.7,1415.2,1422.15
2013-03-04,1421.4,1452.0,1405.0,1428.65
2013-03-05,1446.9,1473.0,1432.0,1461.8
2013-03-06,1469.6,1504.0,1455.0,1492.1
2013-03-07,1492.1,1510.0,1474.3,1501.9
2013-03-08,1505.0,1525.0,1502.05,1508.65
2013-03-11,1505.05,1523.0,1505.0,1509.45
2013-03-12,1510.05,1605.0,1509.8,1587.9
2013-03-13,1585.0,1606.8,1544.0,1553.4
2013-03-14,1560.75,1623.95,1540.0,1599.5
2013-03-15,1609.0,1611.2,1564.0,1573.05
2013-03-18,1568.95,1588.0,1551.05,1565.65
2013-03-19,1563.95,1574.85,1497.0,1511.0
2013-03-20,1511.95,1511.95,1472.0,1485.5
2013-03-21,1498.45,1513.95,1475.0,1480.15
2013-03-22,1483.0,1498.0,1466.4,1483.45
2013-03-25,1490.1,1524.95,1470.25,1475.3
2013-03-26,1485.0,1488.0,1461.5,1470.1
2013-03-28,1478.95,1502.7,1465.5,1475.5
2013-04-01,1469.0,1512.0,1469.0,1498.9
